City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jamestown,42.097,-79.2353,292.88,34,0,6.69,US,1683655353
84,aasiaat,68.7098,-52.8699,271.92,81,84,1.67,GL,1683655541
85,lihue,21.9789,-159.3672,297.73,85,100,7.2,US,1683655542
86,minas de marcona,-15.2119,-75.1103,293.34,63,24,7.32,PE,1683655542
87,invercargill,-46.4,168.35,281.49,95,83,1.34,NZ,1683655355
88,kavieng,-2.5744,150.7967,300.66,80,42,1.59,PG,1683655543
89,roma,43.2128,-75.4557,290.58,32,0,2.57,US,1683655319
90,walvis bay,-22.9575,14.5053,288.68,82,0,2.57,NA,1683655544
91,tome acu,-2.4189,-48.1522,303.25,67,86,0.68,BR,1683655546
92,ibarreta,-25.2144,-59.8585,298.52,33,93,2.48,AR,1683655546
93,fish town,5.1964,-7.8756,299.35,86,92,2.32,LR,1683655546
94,petropavlovsk-kamchatsky,53.0452,158.6483,272.47,100,100,1.0,RU,1683655547
95,cheyyur,12.3495,80.003,302.65,82,100,4.05,IN,1683655547
96,bethel,41.3712,-73.414,294.61,32,20,4.63,US,1683655420
97,happy valley-goose bay,53.3168,-60.3315,278.32,38,75,11.32,CA,1683655548
98,susuman,62.7833,148.1667,272.03,91,99,1.35,RU,1683655548
99,saint-pierre,-21.3393,55.4781,297.97,73,0,3.6,RE,1683655548
100,san antonio de pale,-1.4014,5.6325,301.31,78,36,2.52,GQ,1683655548
101,waingapu,-9.6567,120.2641,298.54,85,99,5.77,ID,1683655549
102,sinabang,2.4803,96.3801,299.96,79,76,1.25,ID,1683655549
103,ancud,-41.8697,-73.8203,286.79,81,89,0.92,CL,1683655549
104,callao,-12.0667,-77.15,296.33,73,100,2.57,PE,1683655437
105,turinskaya sloboda,57.6232,64.3858,277.81,37,0,2.17,RU,1683655550
106,olonkinbyen,70.9221,-8.7187,275.47,100,100,3.72,SJ,1683655550
107,camana,-16.6228,-72.7111,295.62,73,63,4.77,PE,1683655550
108,stanley,54.868,-1.6985,288.86,80,40,4.12,GB,1683655477
109,pindwara,24.8,73.0667,303.27,13,0,0.22,IN,1683655551
110,palikir - national government center,6.9248,158.1611,297.56,100,100,0.0,FM,1683655551
111,shetpe,44.1667,52.1167,291.27,49,8,4.33,KZ,1683655551
112,haiku-pauwela,20.9219,-156.3051,297.62,70,20,7.2,US,1683655552
113,verdal,63.7933,11.4817,287.17,66,99,2.83,NO,1683655552
114,jinchang,38.4953,102.1739,285.36,33,100,1.72,CN,1683655552
115,aioun,16.6614,-9.6149,309.95,21,100,2.82,MR,1683655552
116,kuqa,41.7278,82.9364,291.26,16,66,3.43,CN,1683655257
117,dunda,-8.1167,34.25,292.1,71,55,2.46,TZ,1683655553
118,whitehorse,60.7161,-135.0538,280.98,48,75,5.66,CA,1683655478
119,chichiriviche,10.9333,-68.2772,301.21,80,100,6.77,VE,1683655553
120,hovd,48.0056,91.6419,280.18,72,100,1.45,MN,1683655553
121,hemsby,52.6971,1.6918,287.28,96,95,1.73,GB,1683655554
122,nha trang,12.25,109.1833,300.15,88,67,1.69,VN,1683655554
123,port elizabeth,-33.918,25.5701,290.31,95,0,0.0,ZA,1683655554
124,puerto lempira,15.2667,-83.7667,305.23,66,40,0.0,HN,1683655555
125,tiksi,71.6872,128.8694,273.29,81,57,13.53,RU,1683655555
126,isafjordur,66.0755,-23.124,279.17,87,100,3.6,IS,1683655555
127,vila velha,-20.3297,-40.2925,299.12,82,75,3.6,BR,1683655555
128,benghazi,32.1167,20.0667,300.13,28,91,8.27,LY,1683655542
129,port mathurin,-19.6833,63.4167,298.95,70,15,8.06,MU,1683655556
130,port alfred,-33.5906,26.891,290.47,93,44,3.01,ZA,1683655556
131,castillos,-34.1667,-53.8333,293.11,44,9,4.48,UY,1683655556
132,badger,64.8,-147.5333,282.29,45,75,0.0,US,1683655556
133,rioja,-29.4111,-66.8507,298.12,37,0,2.59,AR,1683655557
134,labuan,5.2767,115.2417,298.35,88,20,0.0,MY,1683655557
135,antalaha,-14.9003,50.2788,296.18,84,6,3.52,MG,1683655557
136,klyuchi,52.2667,79.1667,285.22,53,98,6.13,RU,1683655558
137,yellowknife,62.456,-114.3525,285.44,62,75,1.54,CA,1683655317
138,hammerfest,70.6634,23.6821,279.4,81,75,2.06,NO,1683655558
139,tan-tan,28.438,-11.1032,300.12,47,6,8.75,MA,1683655558
140,karis,60.0718,23.6616,284.33,49,97,2.26,FI,1683655559
141,primero de mayo,-32.2552,-58.4228,294.01,34,35,3.58,AR,1683655559
142,agat village,13.3886,144.6585,300.21,92,0,2.57,GU,1683655559
143,puerto natales,-51.7236,-72.4875,281.4,53,20,1.54,CL,1683655356
144,thompson,55.7435,-97.8558,292.24,42,20,3.6,CA,1683655560
145,vorgashor,67.5833,63.95,264.91,99,90,1.27,RU,1683655560
146,taybad,34.74,60.7756,298.75,15,26,3.48,IR,1683655560
147,naryshkino,52.9678,35.7268,278.21,68,70,2.71,RU,1683655561
148,biograd na moru,43.9433,15.4519,292.54,59,30,3.06,HR,1683655561
149,labytnangi,66.6572,66.4183,267.73,90,65,3.43,RU,1683655413
150,kindu,-2.95,25.95,296.1,92,100,0.68,CD,1683655562
151,berehove,48.2056,22.6442,283.31,67,47,2.13,UA,1683655372
152,nanning,22.8167,108.3167,294.4,94,100,3.25,CN,1683655562
153,kingston,17.997,-76.7936,306.06,61,20,12.35,JM,1683655500
154,plettenberg bay,-34.0527,23.3716,289.04,86,47,1.84,ZA,1683655563
155,barcelos,41.5388,-8.6151,295.33,58,22,5.86,PT,1683655563
156,katsuura,35.1333,140.3,286.34,77,0,5.52,JP,1683655564
157,aras-asan,8.8908,126.3033,299.05,88,13,1.87,PH,1683655564
158,lompoc,34.6391,-120.4579,291.22,65,87,4.02,US,1683655564
159,jindabyne,-36.4167,148.6333,274.96,95,3,1.52,AU,1683655565
160,nuku'alofa,-21.1333,-175.2,297.34,100,20,3.09,TO,1683655565
161,dongning,44.0622,131.1207,276.09,47,25,1.97,CN,1683655566
162,remire-montjoly,4.9167,-52.2667,301.17,78,75,5.14,GF,1683655566
163,dondo,-19.6094,34.7431,296.88,81,2,1.83,MZ,1683655571
164,igarka,67.4667,86.5833,258.11,96,77,3.49,RU,1683655572
165,zhanaozen,43.3,52.8,291.77,51,19,6.11,KZ,1683655572
166,bathsheba,13.2167,-59.5167,303.49,70,40,6.69,BB,1683655574
167,lautoka,-17.6167,177.4667,293.07,88,20,3.6,FJ,1683655567
168,nema,57.5067,50.5011,278.8,66,49,2.39,RU,1683655575
169,iskateley,67.6803,53.1512,272.71,83,99,5.48,RU,1683655575
170,geraldton,-28.7667,114.6,293.38,88,75,2.06,AU,1683655305
171,san andres,12.5847,-81.7006,305.16,70,20,5.14,CO,1683655576
172,east london,-33.0153,27.9116,289.67,94,0,1.54,ZA,1683655576
173,sarina,-21.4333,149.2167,286.82,80,4,3.26,AU,1683655577
174,georgetown,5.4112,100.3354,303.12,83,20,1.54,MY,1683655480
175,cururupu,-1.8283,-44.8683,305.2,54,98,2.17,BR,1683655577
176,gurjaani,41.7429,45.8011,286.83,88,25,1.6,GE,1683655577
177,bruntal,49.9884,17.4647,286.54,59,47,2.72,CZ,1683655578
178,codrington,-38.2667,141.9667,286.39,68,98,3.07,AU,1683655578
179,novyy urgal,51.0736,132.5642,276.38,80,71,0.63,RU,1683655578
180,pachperwa,27.5167,82.65,302.65,15,0,4.39,IN,1683655579
181,kimbe,-5.5502,150.1429,297.84,93,69,1.72,PG,1683655579
182,nogliki,51.8333,143.1667,272.38,98,100,3.34,RU,1683655580
183,xianning,29.8833,114.2167,291.74,73,92,2.38,CN,1683655580
